rank,protocol_name,protocol_type,success_rate,guard_pass_rate,mean_score,worst_score,score_std,robust_utility,mean_delta_Q30,worst_delta_Q30,mean_delta_plating_loss,worst_delta_plating_loss,mean_delta_sei_growth,worst_delta_sei_growth,mean_delta_total_lli,worst_delta_total_lli
1,UA4_EVTBO_3.00C_rest10m_4.30C_v4p16,UA5_PSMS_Anchor,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p16_h3.35_0m_noentry_stagemask,UA5_PSMS_Ablation_Candidate,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p18_h3.35_1p5m_noentry_stagemask,UA5_PSMS_Ablation_Candidate,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,UA5_PSMS_3.00C_rest10m_4.30C_e4.30_v4p17_h3.55_0m_noentry_stagemask,UA5_PSMS_Ablation_Candidate,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,UA5_PSMS_3.05C_rest10m_4.30C_e4.30_v4p16_h3.40_0p5m_noentry_stagemask,UA5_PSMS_Ablation_Candidate,1.0,0.8,-0.023620995344550918,-0.10070972887695687,0.03961573196626259,-0.03748650153274283,-0.12351257808212301,-0.5737973605551733,-0.006164404793150442,-0.049856872270263544,0.032971298633162296,0.0007392108072102332,0.0022217028639074715,-0.03405456439813875
6,UA5_PSMS_3.00C_rest9m_4.30C_e4.30_v4p15_h3.45_0p5m_noentry_stagemask,UA5_PSMS_Ablation_Candidate,1.0,0.8,-0.03659487928603243,-0.10961343661913592,0.04042257719821206,-0.05074278130540665,-0.1273692808611852,-0.5613286817802664,-0.03104915868919028,-0.08950895121948456,0.02928073760570928,0.0,-0.01724181519946351,-0.06010026557327526
7,UA5_PSMS_3.00C_rest11m_4.30C_e4.30_v4p17_h3.50_1m_noentry_stagemask,UA5_PSMS_Ablation_Candidate,1.0,0.6,0.2104663858322505,0.025454001273304813,0.18087044377508604,0.14716173051097037,0.5781299069132552,0.03761586093744374,0.18480584300847927,0.041757807885933265,-0.06835812112232717,-0.16968661474394375,0.14728791452959472,0.026378592563351684
8,UA5_PSMS_2.95C_rest10m_4.30C_e4.30_v4p14_h3.30_0m_noentry_stagemask,UA5_PSMS_Ablation_Candidate,1.0,0.6,0.18018219242803346,0.007764519876530258,0.16933349161730538,0.12091547036197658,0.5096569556922192,-0.007136580795486998,0.153387283032716,0.02296269242838529,-0.06456888732885785,-0.1657501304693639,0.12225341831605649,0.015113524434267365
9,BO_3step_aggressive,BO_Optimal,1.0,0.4,-0.2710664012276322,-0.6896866419648101,0.32475388219284157,-0.3847302599951268,-0.00582626817121227,-0.055911951044323366,-0.6291158431828652,-1.6112129217472393,-0.01707515990454527,-0.03851004339040949,-0.4322483336519062,-1.1181411448486063
10,BO_3step_conservative,BO_Optimal,1.0,0.0,0.28776314529580244,0.2376260917408968,0.04552375547624516,0.2718298308791166,-0.5224839922189354,-0.6954657100705723,0.9945223548030313,0.9928621160709898,-0.09518192093817532,-0.20536744378818544,0.774196139537289,0.6623860798937056
11,LinearTaper_3.0C-0.5C,LinearTaper,1.0,0.0,-0.15892763161249018,-0.32233095977562964,0.10111398164487823,-0.19431752518819756,0.06594460568109906,-0.2807026633242854,-0.28148234098454017,-0.49333240117661437,-0.14682530192210758,-0.2156619618983185,-0.273347489224412,-0.4364211397208822
12,CCCV_2.0C,CCCV,1.0,0.0,-0.5366985820419202,-1.175426900337093,0.4545000069024242,-0.6957735844577687,0.16870921256267138,-0.24766954009375153,-1.2296011788042311,-2.5933825210793757,-0.16809257504442845,-0.2684567458133089,-0.9178097868816927,-1.8187241973000299
13,LinearTaper_3.0C-1.0C,LinearTaper,1.0,0.0,-0.4646477461900048,-1.196362824942526,0.4433515738291299,-0.6198207970302003,-0.05506983015138021,-0.4385100448821266,-1.0106089532519218,-2.649527028023093,-0.06061013938004185,-0.11976479110776415,-0.7323020619766754,-1.8431937067713207
